,X,Y,Z,time,trace
0,0.0,0.0,2000.0,19967.0,1
1,1178.595236198163,-443.3128539746916,2000.0,19977.0,1
2,2476.5703895119846,-946.8579020172799,2000.0,19987.0,1
3,3787.404194311354,-1454.0889700763487,2000.0,19997.0,1
4,5077.894390537589,-1952.5711283618448,2000.0,20007.0,1
5,6651.203916529393,-2119.448299011932,2000.0,20017.0,1
6,8562.435122800183,-2339.2725220709062,2000.0,20027.0,1
7,10835.675344323408,-2595.1722110223754,2000.0,20037.0,1
8,13433.018689238048,-2874.611224155913,2000.0,20047.0,1
9,16093.92856352261,-3172.08059084049,2000.0,20057.0,1
10,18748.842781392865,-3467.3098574610462,2000.0,20067.0,1
11,24061.597816955044,-4075.455019954251,2000.0,20087.0,1
12,29401.129307175062,-4945.922140291265,2000.0,20107.0,1
13,32093.739600200817,-5403.340906153931,2000.0,20117.0,1
14,34773.8923060442,-5842.383464214107,2000.0,20127.0,1
15,37519.44795746229,-6304.674084081072,2000.0,20137.0,1
16,40261.19004375424,-6753.85591369413,2000.0,20147.0,1
17,43001.739624820104,-7219.003658703117,2000.0,20157.0,1
18,45740.9717861589,-7673.639965558164,2000.0,20167.0,1
19,51240.988935296824,-8444.286768157725,2000.0,20187.0,1
20,54005.134082245306,-8746.643689277693,2000.0,20197.0,1
21,56764.87379400697,-9061.19986359218,2000.0,20207.0,1
22,59530.44424167502,-9064.334502077707,2000.0,20217.0,1
23,62312.461642499526,-9090.748111324241,2000.0,20227.0,1
24,65093.526497818115,-9096.02675117872,2000.0,20237.0,1
25,67871.5683136186,-9106.094409438114,2000.0,20247.0,1
26,73416.2532106558,-9135.933488269855,2000.0,20267.0,1
27,76198.62640707876,-9139.928833153113,2000.0,20277.0,1
28,78972.26833794412,-9151.878913462146,2000.0,20287.0,1
29,81750.41645698936,-9176.841751297166,2000.0,20297.0,1
30,84520.69158802688,-9180.448407313625,2000.0,20307.0,1
31,87285.02586800582,-9204.299213474947,2000.0,20317.0,1
32,90073.32167066839,-9212.295190332681,2000.0,20327.0,1
33,95617.18025516524,-9227.920665004327,2000.0,20347.0,1
34,101163.77126036392,-9264.136347632495,2000.0,20367.0,1
35,103925.88077675508,-9262.679830533054,2000.0,20377.0,1
36,106696.75547442555,-9285.781537049703,2000.0,20387.0,1
37,109477.62405366015,-9304.738300947583,2000.0,20397.0,1
38,112251.38542357564,-9315.27179639549,2000.0,20407.0,1
39,115009.96547189883,-9320.319009391049,2000.0,20417.0,1
40,120669.48924554136,-9349.246628025381,2000.0,20437.0,1
41,123485.82022316936,-9364.035682925594,2000.0,20447.0,1
42,126319.34622847814,-9374.875328310585,2000.0,20457.0,1
43,129144.0861328829,-9383.78435176055,2000.0,20467.0,1
44,131971.51259325256,-9386.245360903964,2000.0,20477.0,1
45,134786.88884057914,-9403.156415938982,2000.0,20487.0,1
46,137587.89526600178,-8949.488995054693,2000.0,20497.0,1
47,140376.19229531696,-8500.096307004173,2000.0,20507.0,1
48,143159.04758999994,-8050.355246855513,2000.0,20517.0,1
49,148736.45471875195,-7136.9833438801215,2000.0,20537.0,1
